1060.12,1068.14,1077.87,1045.07
1044.17,1077.30,1070.00,1081.03
1019.50,1012.55,1026.34,1002.69
1003.14,1013.62,1040.03,988.55
1021.23,1034.06,1060.11,999.19
1021.61,1039.57,1046.37,1012.91
991.47,1026.81,1045.07,996.64
944.07,999.65,1007.60,967.84
1009.59,986.18,1029.80,960.33
1014.01,1014.32,1033.69,974.33
1049.26,1038.20,1051.89,1046.64
1098.85,1066.07,1089.16,1036.48
1026.05,998.48,1035.16,1002.57
1002.46,1025.14,1029.20,1002.38
1125.36,1024.18,1084.70,1040.77
1054.79,1055.64,1046.22,1043.07
1130.93,1067.70,1098.42,1073.88
1072.34,1120.56,1085.79,1093.74
1133.57,1082.77,1107.61,1070.60
1067.43,1028.79,1063.39,1040.60
1049.11,1075.06,1055.42,1055.26
1109.61,1053.42,1108.57,1053.42
1067.83,1075.52,1085.00,1070.11
1077.40,1063.21,1079.55,1066.28
1106.62,1120.53,1124.90,1108.30
1042.78,1076.00,1074.67,1036.04
1062.43,1072.87,1077.56,1050.52
1072.23,1075.61,1074.02,1061.65
1096.04,1074.35,1087.42,1078.10
1078.44,1100.64,1099.55,1081.20
1032.88,1060.68,1058.31,1028.43
1117.50,1064.18,1106.85,1077.84
1125.30,1102.47,1116.75,1089.57
1138.06,1146.97,1151.33,1133.45
1154.85,1112.92,1140.60,1113.15
1159.18,1137.02,1160.90,1125.48
1094.32,1134.68,1136.00,1094.75
1097.04,1103.29,1099.38,1086.95
1112.15,1095.52,1113.44,1107.67
1117.06,1097.21,1113.74,1096.99
1115.75,1116.20,1132.97,1115.33
1118.95,1143.18,1144.16,1131.15
1123.18,1111.11,1121.73,1102.39
1113.60,1140.03,1138.70,1116.96
1114.91,1092.84,1115.96,1110.55
1140.16,1129.84,1142.76,1118.27
1080.45,1075.43,1069.78,1065.75
1093.85,1065.49,1069.08,1068.83
1108.43,1131.10,1125.84,1118.94
1107.11,1117.78,1122.95,1100.13
1116.97,1108.15,1116.45,1102.08
1111.90,1123.33,1131.09,1111.22
1162.06,1138.50,1158.29,1138.49
1139.78,1159.02,1161.72,1130.90
1183.10,1163.66,1184.93,1159.93
1158.78,1163.69,1166.04,1156.57
1147.17,1160.07,1166.43,1144.92
1148.05,1116.48,1148.05,1115.95
1181.49,1134.20,1177.16,1137.10
1226.64,1195.98,1229.11,1199.41
1226.76,1218.37,1230.04,1213.09
1185.67,1216.89,1198.81,1198.16
1201.90,1227.19,1220.38,1216.42
1184.06,1173.22,1183.43,1172.23
1213.44,1194.32,1210.00,1194.32
1249.09,1205.89,1254.28,1206.47
1239.11,1234.65,1236.44,1230.13
1179.46,1236.64,1228.21,1192.50
1192.80,1186.85,1199.83,1181.85
1050.84,1117.53,1105.64,1013.96
1065.24,1004.14,1048.26,1014.25
1121.63,1027.35,1096.80,1077.81
1018.61,1121.24,1074.48,1024.20
1098.35,1125.08,1137.42,1110.86
1027.88,1052.93,1057.47,1013.39
1058.34,1017.31,1060.01,1017.07
1095.92,1046.83,1091.12,1044.90
1029.42,1114.74,1091.50,1050.94
1055.16,1096.37,1073.37,1059.41
1027.64,1083.77,1059.93,1037.30
1023.84,1041.22,1055.61,1023.30
1059.79,975.99,995.01,1035.92
1085.76,1039.42,1089.14,1032.56
1058.27,1074.11,1062.15,1066.18
1041.05,1051.91,1078.08,1017.04
1022.54,1014.70,1026.89,1013.22
1021.36,1019.37,1030.85,1014.38
1031.49,1036.71,1035.55,1022.25
1069.67,1033.06,1066.60,1034.69
1041.19,1055.70,1052.73,1055.69
1083.65,1030.66,1081.33,1035.91
1074.57,1069.32,1083.27,1064.93
1052.94,1086.86,1089.36,1045.16
1131.17,1131.49,1136.37,1115.18
1062.82,1137.19,1133.50,1075.76
1080.73,1068.33,1100.28,1056.55
1022.85,1053.25,1064.29,1017.43
1042.52,1010.09,1021.64,1018.08
1069.66,987.63,1027.38,1020.63
1065.75,1095.32,1089.06,1103.03
1060.12,1068.14,1077.87,1045.07
1044.17,1077.30,1070.00,1081.03
1019.50,1012.55,1026.34,1002.69
1003.14,1013.62,1040.03,988.55
1021.23,1034.06,1060.11,999.19
1021.61,1039.57,1046.37,1012.91
991.47,1026.81,1045.07,996.64
944.07,999.65,1007.60,967.84
1009.59,986.18,1029.80,960.33
1014.01,1014.32,1033.69,974.33
1049.26,1038.20,1051.89,1046.64
1098.85,1066.07,1089.16,1036.48
1026.05,998.48,1035.16,1002.57
1002.46,1025.14,1029.20,1002.38
1125.36,1024.18,1084.70,1040.77
1054.79,1055.64,1046.22,1043.07
1130.93,1067.70,1098.42,1073.88
1072.34,1120.56,1085.79,1093.74
1133.57,1082.77,1107.61,1070.60
1067.43,1028.79,1063.39,1040.60
1049.11,1075.06,1055.42,1055.26
1109.61,1053.42,1108.57,1053.42
1067.83,1075.52,1085.00,1070.11
1077.40,1063.21,1079.55,1066.28
1106.62,1120.53,1124.90,1108.30
1042.78,1076.00,1074.67,1036.04
1062.43,1072.87,1077.56,1050.52
1072.23,1075.61,1074.02,1061.65
1096.04,1074.35,1087.42,1078.10
1078.44,1100.64,1099.55,1081.20
1032.88,1060.68,1058.31,1028.43
1117.50,1064.18,1106.85,1077.84
1125.30,1102.47,1116.75,1089.57
1138.06,1146.97,1151.33,1133.45
1154.85,1112.92,1140.60,1113.15
1159.18,1137.02,1160.90,1125.48
1094.32,1134.68,1136.00,1094.75
1097.04,1103.29,1099.38,1086.95
1112.15,1095.52,1113.44,1107.67
1117.06,1097.21,1113.74,1096.99
1115.75,1116.20,1132.97,1115.33
1118.95,1143.18,1144.16,1131.15
1123.18,1111.11,1121.73,1102.39
1113.60,1140.03,1138.70,1116.96
1114.91,1092.84,1115.96,1110.55
1140.16,1129.84,1142.76,1118.27
1080.45,1075.43,1069.78,1065.75
1093.85,1065.49,1069.08,1068.83
1108.43,1131.10,1125.84,1118.94
1107.11,1117.78,1122.95,1100.13
1116.97,1108.15,1116.45,1102.08
1111.90,1123.33,1131.09,1111.22
1162.06,1138.50,1158.29,1138.49
1139.78,1159.02,1161.72,1130.90
1183.10,1163.66,1184.93,1159.93
1158.78,1163.69,1166.04,1156.57
1147.17,1160.07,1166.43,1144.92
1148.05,1116.48,1148.05,1115.95
1181.49,1134.20,1177.16,1137.10
1226.64,1195.98,1229.11,1199.41
1226.76,1218.37,1230.04,1213.09
1185.67,1216.89,1198.81,1198.16
1201.90,1227.19,1220.38,1216.42
1184.06,1173.22,1183.43,1172.23
1213.44,1194.32,1210.00,1194.32
1249.09,1205.89,1254.28,1206.47
1239.11,1234.65,1236.44,1230.13
1179.46,1236.64,1228.21,1192.50
1192.80,1186.85,1199.83,1181.85
